Row,Phase,Week,Solution,Replication,Height,Greenness,Surface,Roots,Organs
839,Phase 1,Week 3,Solution 18,Replication 13,4.85,4,24.31,3,3
840,Phase 1,Week 3,Solution 18,Replication 14,4.88,3,24.48,2,3
841,Phase 1,Week 3,Solution 19,Replication 1,9.86,4,25.34,4,4
842,Phase 1,Week 3,Solution 19,Replication 2,9.33,4,29.83,3,3
843,Phase 1,Week 3,Solution 19,Replication 3,7.71,4,26.94,3,4
844,Phase 1,Week 3,Solution 19,Replication 4,9.76,4,27.48,4,4
845,Phase 1,Week 3,Solution 19,Replication 5,9.90,5,29.09,4,4
846,Phase 1,Week 3,Solution 19,Replication 6,8.84,4,25.42,4,4
847,Phase 1,Week 3,Solution 19,Replication 7,7.13,5,26.45,3,3
848,Phase 1,Week 3,Solution 19,Replication 8,8.91,4,27.83,4,3
849,Phase 1,Week 3,Solution 19,Replication 9,7.34,4,28.54,4,3
850,Phase 1,Week 3,Solution 19,Replication 10,9.67,4,28.26,3,4
851,Phase 1,Week 3,Solution 19,Replication 11,9.18,5,27.44,4,3
852,Phase 1,Week 3,Solution 19,Replication 12,8.08,5,27.14,4,3
853,Phase 1,Week 3,Solution 19,Replication 13,9.40,5,25.54,4,4
854,Phase 1,Week 3,Solution 19,Replication 14,7.08,4,26.08,3,3
855,Phase 1,Week 3,Solution 20,Replication 1,7.53,4,29.22,3,4
856,Phase 1,Week 3,Solution 20,Replication 2,8.32,5,29.12,4,4
857,Phase 1,Week 3,Solution 20,Replication 3,7.70,5,28.56,4,3
858,Phase 1,Week 3,Solution 20,Replication 4,9.63,4,26.02,3,4
859,Phase 1,Week 3,Solution 20,Replication 5,7.02,4,26.76,4,4
860,Phase 1,Week 3,Solution 20,Replication 6,7.23,5,25.79,3,3
861,Phase 1,Week 3,Solution 20,Replication 7,7.38,4,25.72,3,4
862,Phase 1,Week 3,Solution 20,Replication 8,7.53,5,27.72,3,3
863,Phase 1,Week 3,Solution 20,Replication 9,9.98,4,28.34,4,4
864,Phase 1,Week 3,Solution 20,Replication 10,9.18,5,25.94,3,4
865,Phase 1,Week 3,Solution 20,Replication 11,9.40,4,26.94,3,4
866,Phase 1,Week 3,Solution 20,Replication 12,9.57,5,29.15,4,4
867,Phase 1,Week 3,Solution 20,Replication 13,7.59,5,26.95,3,3
868,Phase 1,Week 3,Solution 20,Replication 14,9.27,5,27.02,4,3
869,Phase 1,Week 3,Control,Replication 1,9.01,5,25.57,3,3
870,Phase 1,Week 3,Control,Replication 2,8.34,5,26.08,4,3
871,Phase 1,Week 3,Control,Replication 3,8.51,4,26.44,3,3
872,Phase 1,Week 3,Control,Replication 4,9.74,5,25.47,3,4
873,Phase 1,Week 3,Control,Replication 5,8.05,5,27.57,4,3
874,Phase 1,Week 3,Control,Replication 6,8.87,4,26.53,3,4
875,Phase 1,Week 3,Control,Replication 7,8.70,5,25.13,3,4
876,Phase 1,Week 3,Control,Replication 8,9.07,4,29.01,3,4
877,Phase 1,Week 3,Control,Replication 9,8.45,4,28.24,4,4
878,Phase 1,Week 3,Control,Replication 10,8.77,5,27.57,3,4
879,Phase 1,Week 3,Control,Replication 11,9.56,4,25.75,4,3
880,Phase 1,Week 3,Control,Replication 12,8.94,5,29.36,3,4
881,Phase 1,Week 3,Control,Replication 13,9.15,5,28.26,4,3
882,Phase 1,Week 3,Control,Replication 14,9.61,4,27.68,4,4
883,Phase 1,Week 4,Solution 1,Replication 1,14.19,5,32.97,3,3
884,Phase 1,Week 4,Solution 1,Replication 2,14.08,5,31.61,5,4
885,Phase 1,Week 4,Solution 1,Replication 3,14.63,5,34.18,3,4
886,Phase 1,Week 4,Solution 1,Replication 4,14.36,5,32.13,4,4
887,Phase 1,Week 4,Solution 1,Replication 5,14.58,4,38.31,5,5
888,Phase 1,Week 4,Solution 1,Replication 6,14.47,4,33.01,3,5
889,Phase 1,Week 4,Solution 1,Replication 7,14.98,5,31.10,3,5
890,Phase 1,Week 4,Solution 1,Replication 8,14.94,5,35.33,5,4
891,Phase 1,Week 4,Solution 1,Replication 9,14.01,5,31.30,4,5
892,Phase 1,Week 4,Solution 1,Replication 10,14.47,5,39.68,4,3
893,Phase 1,Week 4,Solution 1,Replication 11,14.45,4,38.26,4,4
894,Phase 1,Week 4,Solution 1,Replication 12,14.94,5,34.42,4,4
895,Phase 1,Week 4,Solution 1,Replication 13,14.79,4,31.86,3,5
896,Phase 1,Week 4,Solution 1,Replication 14,14.02,4,36.75,5,4
897,Phase 1,Week 4,Solution 2,Replication 1,11.27,3,21.53,3,3
898,Phase 1,Week 4,Solution 2,Replication 2,10.72,2,24.79,2,2
899,Phase 1,Week 4,Solution 2,Replication 3,11.84,2,23.89,3,2
900,Phase 1,Week 4,Solution 2,Replication 4,11.30,2,23.84,2,1
901,Phase 1,Week 4,Solution 2,Replication 5,11.02,3,23.10,2,1
902,Phase 1,Week 4,Solution 2,Replication 6,11.10,3,22.13,3,2
903,Phase 1,Week 4,Solution 2,Replication 7,10.06,2,21.56,1,2
904,Phase 1,Week 4,Solution 2,Replication 8,10.46,2,22.77,1,3
905,Phase 1,Week 4,Solution 2,Replication 9,10.31,3,21.89,2,1
906,Phase 1,Week 4,Solution 2,Replication 10,11.16,2,24.90,2,1
907,Phase 1,Week 4,Solution 2,Replication 11,11.37,2,22.06,3,3
908,Phase 1,Week 4,Solution 2,Replication 12,11.67,2,21.41,3,2
909,Phase 1,Week 4,Solution 2,Replication 13,10.39,2,24.31,3,1
910,Phase 1,Week 4,Solution 2,Replication 14,11.67,3,21.43,1,1
911,Phase 1,Week 4,Solution 3,Replication 1,9.12,4,27.05,3,3
912,Phase 1,Week 4,Solution 3,Replication 2,8.95,4,27.09,4,4
913,Phase 1,Week 4,Solution 3,Replication 3,8.95,4,25.25,3,3
914,Phase 1,Week 4,Solution 3,Replication 4,8.89,4,29.42,4,3
915,Phase 1,Week 4,Solution 3,Replication 5,9.05,4,26.90,4,4
916,Phase 1,Week 4,Solution 3,Replication 6,9.16,4,25.22,3,3
917,Phase 1,Week 4,Solution 3,Replication 7,8.21,3,25.93,3,4
918,Phase 1,Week 4,Solution 3,Replication 8,9.21,4,28.01,4,3
919,Phase 1,Week 4,Solution 3,Replication 9,9.63,4,27.22,3,3
920,Phase 1,Week 4,Solution 3,Replication 10,9.82,3,28.65,4,3
921,Phase 1,Week 4,Solution 3,Replication 11,8.57,4,28.09,4,3
922,Phase 1,Week 4,Solution 3,Replication 12,9.97,4,29.08,3,3
923,Phase 1,Week 4,Solution 3,Replication 13,8.58,4,26.41,3,3
924,Phase 1,Week 4,Solution 3,Replication 14,9.12,3,26.81,3,4
925,Phase 1,Week 4,Solution 4,Replication 1,14.51,5,38.91,4,4
926,Phase 1,Week 4,Solution 4,Replication 2,14.35,4,35.40,5,3
927,Phase 1,Week 4,Solution 4,Replication 3,14.17,4,34.53,4,3
928,Phase 1,Week 4,Solution 4,Replication 4,14.93,4,33.70,4,5
929,Phase 1,Week 4,Solution 4,Replication 5,14.77,5,35.19,4,5
930,Phase 1,Week 4,Solution 4,Replication 6,14.71,4,33.65,4,4
931,Phase 1,Week 4,Solution 4,Replication 7,14.62,4,31.12,5,3
932,Phase 1,Week 4,Solution 4,Replication 8,14.65,5,31.37,4,4
933,Phase 1,Week 4,Solution 4,Replication 9,14.53,5,32.49,4,4
934,Phase 1,Week 4,Solution 4,Replication 10,14.05,4,37.68,3,4
935,Phase 1,Week 4,Solution 4,Replication 11,14.01,4,38.91,4,4
936,Phase 1,Week 4,Solution 4,Replication 12,14.21,4,35.02,5,3
937,Phase 1,Week 4,Solution 4,Replication 13,14.98,5,31.71,4,4
938,Phase 1,Week 4,Solution 4,Replication 14,14.94,5,38.78,4,4
939,Phase 1,Week 4,Solution 5,Replication 1,8.02,4,28.51,4,3
940,Phase 1,Week 4,Solution 5,Replication 2,8.66,4,26.34,4,3
941,Phase 1,Week 4,Solution 5,Replication 3,9.71,3,26.38,4,4
942,Phase 1,Week 4,Solution 5,Replication 4,8.24,3,27.35,3,3
943,Phase 1,Week 4,Solution 5,Replication 5,9.77,4,25.86,3,3
944,Phase 1,Week 4,Solution 5,Replication 6,9.50,4,27.22,4,3
945,Phase 1,Week 4,Solution 5,Replication 7,8.77,3,25.86,4,4
946,Phase 1,Week 4,Solution 5,Replication 8,8.68,3,28.24,4,4
947,Phase 1,Week 4,Solution 5,Replication 9,8.38,4,26.28,4,3
948,Phase 1,Week 4,Solution 5,Replication 10,9.09,3,25.98,3,3
949,Phase 1,Week 4,Solution 5,Replication 11,9.00,3,28.13,3,3
950,Phase 1,Week 4,Solution 5,Replication 12,9.05,3,28.44,3,3
951,Phase 1,Week 4,Solution 5,Replication 13,8.08,3,27.43,3,3
952,Phase 1,Week 4,Solution 5,Replication 14,8.85,3,27.07,4,3
953,Phase 1,Week 4,Solution 6,Replication 1,11.49,2,23.26,2,3
954,Phase 1,Week 4,Solution 6,Replication 2,11.62,3,21.50,2,1
955,Phase 1,Week 4,Solution 6,Replication 3,10.31,3,23.39,2,2
956,Phase 1,Week 4,Solution 6,Replication 4,11.32,2,22.66,3,2
957,Phase 1,Week 4,Solution 6,Replication 5,10.25,2,23.31,3,1
958,Phase 1,Week 4,Solution 6,Replication 6,11.44,2,20.66,1,2
959,Phase 1,Week 4,Solution 6,Replication 7,10.23,2,21.26,1,2
960,Phase 1,Week 4,Solution 6,Replication 8,11.50,3,23.16,2,3
961,Phase 1,Week 4,Solution 6,Replication 9,10.66,2,20.98,2,1
962,Phase 1,Week 4,Solution 6,Replication 10,11.13,2,24.71,2,1
963,Phase 1,Week 4,Solution 6,Replication 11,10.03,3,23.25,3,2
964,Phase 1,Week 4,Solution 6,Replication 12,10.47,3,24.14,3,2
965,Phase 1,Week 4,Solution 6,Replication 13,10.87,2,24.12,2,1
966,Phase 1,Week 4,Solution 6,Replication 14,10.01,3,20.28,2,3
967,Phase 1,Week 4,Solution 7,Replication 1,11.93,2,22.48,2,2
968,Phase 1,Week 4,Solution 7,Replication 2,10.99,2,20.06,2,2
969,Phase 1,Week 4,Solution 7,Replication 3,10.00,2,22.86,3,3
970,Phase 1,Week 4,Solution 7,Replication 4,10.97,3,23.23,2,2
971,Phase 1,Week 4,Solution 7,Replication 5,11.36,2,20.49,1,1
972,Phase 1,Week 4,Solution 7,Replication 6,11.07,3,24.72,3,2
973,Phase 1,Week 4,Solution 7,Replication 7,11.34,3,24.80,2,1
974,Phase 1,Week 4,Solution 7,Replication 8,10.69,2,22.91,2,2
975,Phase 1,Week 4,Solution 7,Replication 9,10.94,3,24.93,2,3
976,Phase 1,Week 4,Solution 7,Replication 10,10.57,2,22.08,3,1
977,Phase 1,Week 4,Solution 7,Replication 11,11.05,3,24.37,2,2
978,Phase 1,Week 4,Solution 7,Replication 12,11.46,3,23.32,2,3
979,Phase 1,Week 4,Solution 7,Replication 13,10.93,2,23.32,1,1
980,Phase 1,Week 4,Solution 7,Replication 14,11.70,2,21.22,3,2
981,Phase 1,Week 4,Solution 8,Replication 1,14.44,5,30.64,4,5
982,Phase 1,Week 4,Solution 8,Replication 2,14.10,4,37.59,4,4
983,Phase 1,Week 4,Solution 8,Replication 3,14.41,5,38.45,4,5
984,Phase 1,Week 4,Solution 8,Replication 4,14.47,5,35.57,4,4
985,Phase 1,Week 4,Solution 8,Replication 5,14.75,5,35.97,3,5
986,Phase 1,Week 4,Solution 8,Replication 6,14.92,4,37.80,5,4
987,Phase 1,Week 4,Solution 8,Replication 7,14.06,5,33.01,4,4
988,Phase 1,Week 4,Solution 8,Replication 8,14.21,5,33.79,3,5
989,Phase 1,Week 4,Solution 8,Replication 9,14.44,5,37.47,3,5
990,Phase 1,Week 4,Solution 8,Replication 10,14.41,4,34.73,4,4
991,Phase 1,Week 4,Solution 8,Replication 11,14.32,4,36.02,3,5
992,Phase 1,Week 4,Solution 8,Replication 12,14.18,4,36.82,3,4
993,Phase 1,Week 4,Solution 8,Replication 13,14.82,5,31.83,4,3
994,Phase 1,Week 4,Solution 8,Replication 14,14.32,4,34.04,5,4
995,Phase 1,Week 4,Solution 9,Replication 1,14.82,4,35.17,4,5
996,Phase 1,Week 4,Solution 9,Replication 2,14.19,5,38.92,3,4
997,Phase 1,Week 4,Solution 9,Replication 3,14.99,4,34.04,3,5
998,Phase 1,Week 4,Solution 9,Replication 4,14.63,4,36.46,4,3
999,Phase 1,Week 4,Solution 9,Replication 5,14.25,4,33.85,3,5
1000,Phase 1,Week 4,Solution 9,Replication 6,14.66,5,36.36,4,3
1001,Phase 1,Week 4,Solution 9,Replication 7,14.30,4,35.05,4,5
1002,Phase 1,Week 4,Solution 9,Replication 8,14.55,5,32.12,5,3
1003,Phase 1,Week 4,Solution 9,Replication 9,14.14,5,30.53,4,4
1004,Phase 1,Week 4,Solution 9,Replication 10,14.05,5,38.65,4,5
1005,Phase 1,Week 4,Solution 9,Replication 11,14.89,4,35.11,4,5
1006,Phase 1,Week 4,Solution 9,Replication 12,14.02,5,36.60,4,4
1007,Phase 1,Week 4,Solution 9,Replication 13,14.24,5,36.96,3,4
1008,Phase 1,Week 4,Solution 9,Replication 14,14.43,5,39.44,3,4
1009,Phase 1,Week 4,Solution 10,Replication 1,8.60,4,29.20,3,3
1010,Phase 1,Week 4,Solution 10,Replication 2,8.68,4,26.95,3,3
1011,Phase 1,Week 4,Solution 10,Replication 3,8.27,3,29.57,4,3
1012,Phase 1,Week 4,Solution 10,Replication 4,8.26,4,27.22,3,4
1013,Phase 1,Week 4,Solution 10,Replication 5,9.69,4,25.44,3,3
1014,Phase 1,Week 4,Solution 10,Replication 6,9.30,3,29.91,4,3
1015,Phase 1,Week 4,Solution 10,Replication 7,9.28,4,25.66,3,3
1016,Phase 1,Week 4,Solution 10,Replication 8,8.41,3,28.62,3,4
1017,Phase 1,Week 4,Solution 10,Replication 9,9.31,4,25.03,4,4
1018,Phase 1,Week 4,Solution 10,Replication 10,8.96,4,29.86,4,4
1019,Phase 1,Week 4,Solution 10,Replication 11,8.13,4,27.81,4,4
1020,Phase 1,Week 4,Solution 10,Replication 12,9.41,4,27.35,3,3
1021,Phase 1,Week 4,Solution 10,Replication 13,9.28,3,29.73,3,4
1022,Phase 1,Week 4,Solution 10,Replication 14,8.06,3,27.02,3,3
1023,Phase 1,Week 4,Solution 11,Replication 1,14.90,4,31.25,4,3
1024,Phase 1,Week 4,Solution 11,Replication 2,14.58,4,30.38,5,3
1025,Phase 1,Week 4,Solution 11,Replication 3,14.01,4,34.50,4,4
1026,Phase 1,Week 4,Solution 11,Replication 4,14.49,4,30.56,4,3
1027,Phase 1,Week 4,Solution 11,Replication 5,14.71,4,38.72,5,5
1028,Phase 1,Week 4,Solution 11,Replication 6,14.02,5,34.52,3,4
1029,Phase 1,Week 4,Solution 11,Replication 7,14.48,4,32.60,4,3
1030,Phase 1,Week 4,Solution 11,Replication 8,14.28,4,37.10,4,4
1031,Phase 1,Week 4,Solution 11,Replication 9,14.46,5,32.99,5,4
1032,Phase 1,Week 4,Solution 11,Replication 10,14.09,5,34.43,4,4
1033,Phase 1,Week 4,Solution 11,Replication 11,14.06,5,30.84,3,4
1034,Phase 1,Week 4,Solution 11,Replication 12,14.76,5,38.53,4,5
1035,Phase 1,Week 4,Solution 11,Replication 13,14.15,5,39.77,3,4
1036,Phase 1,Week 4,Solution 11,Replication 14,14.89,5,32.83,5,3
1037,Phase 1,Week 4,Solution 12,Replication 1,14.72,4,37.70,3,4
1038,Phase 1,Week 4,Solution 12,Replication 2,14.18,4,33.49,5,5
1039,Phase 1,Week 4,Solution 12,Replication 3,14.32,5,37.83,5,4
1040,Phase 1,Week 4,Solution 12,Replication 4,14.44,4,35.98,4,5
1041,Phase 1,Week 4,Solution 12,Replication 5,14.32,5,36.90,4,3
1042,Phase 1,Week 4,Solution 12,Replication 6,14.32,4,36.59,5,4
1043,Phase 1,Week 4,Solution 12,Replication 7,14.46,4,38.96,5,5
1044,Phase 1,Week 4,Solution 12,Replication 8,14.22,5,36.38,5,4
1045,Phase 1,Week 4,Solution 12,Replication 9,14.12,4,34.65,3,4
1046,Phase 1,Week 4,Solution 12,Replication 10,14.12,5,31.72,3,4
1047,Phase 1,Week 4,Solution 12,Replication 11,15.00,4,39.20,3,5
1048,Phase 1,Week 4,Solution 12,Replication 12,14.07,4,30.02,5,3
1049,Phase 1,Week 4,Solution 12,Replication 13,14.72,4,35.46,5,4
1050,Phase 1,Week 4,Solution 12,Replication 14,14.62,5,31.85,5,5
1051,Phase 1,Week 4,Solution 13,Replication 1,10.82,3,21.80,1,3
1052,Phase 1,Week 4,Solution 13,Replication 2,10.49,3,24.33,2,2
1053,Phase 1,Week 4,Solution 13,Replication 3,10.16,2,22.02,2,3
1054,Phase 1,Week 4,Solution 13,Replication 4,10.32,2,23.86,3,2
1055,Phase 1,Week 4,Solution 13,Replication 5,10.52,2,24.63,1,2
1056,Phase 1,Week 4,Solution 13,Replication 6,11.32,3,20.61,3,2
1057,Phase 1,Week 4,Solution 13,Replication 7,10.07,3,22.38,2,3
1058,Phase 1,Week 4,Solution 13,Replication 8,10.68,3,20.64,3,3
1059,Phase 1,Week 4,Solution 13,Replication 9,11.72,3,20.22,3,2
1060,Phase 1,Week 4,Solution 13,Replication 10,10.21,3,24.41,2,2
1061,Phase 1,Week 4,Solution 13,Replication 11,10.69,3,23.93,2,1
1062,Phase 1,Week 4,Solution 13,Replication 12,10.24,3,21.29,3,2
1063,Phase 1,Week 4,Solution 13,Replication 13,10.13,2,20.72,1,1
1064,Phase 1,Week 4,Solution 13,Replication 14,11.43,2,20.62,1,2
1065,Phase 1,Week 4,Solution 14,Replication 1,10.01,2,21.48,2,3
1066,Phase 1,Week 4,Solution 14,Replication 2,11.76,2,23.77,2,2
1067,Phase 1,Week 4,Solution 14,Replication 3,11.14,3,21.01,2,2
1068,Phase 1,Week 4,Solution 14,Replication 4,11.87,2,24.64,3,2
1069,Phase 1,Week 4,Solution 14,Replication 5,11.80,2,23.16,1,2
1070,Phase 1,Week 4,Solution 14,Replication 6,10.19,2,23.54,1,2
1071,Phase 1,Week 4,Solution 14,Replication 7,10.49,2,20.43,3,1
1072,Phase 1,Week 4,Solution 14,Replication 8,11.69,3,21.96,2,1
1073,Phase 1,Week 4,Solution 14,Replication 9,10.53,2,21.68,1,2
1074,Phase 1,Week 4,Solution 14,Replication 10,11.20,2,21.07,3,2
1075,Phase 1,Week 4,Solution 14,Replication 11,10.22,2,20.25,3,2
1076,Phase 1,Week 4,Solution 14,Replication 12,10.79,3,22.44,2,2
1077,Phase 1,Week 4,Solution 14,Replication 13,10.56,3,21.58,3,2
1078,Phase 1,Week 4,Solution 14,Replication 14,10.95,2,21.04,2,3
1079,Phase 1,Week 4,Solution 15,Replication 1,14.32,5,32.58,4,5
1080,Phase 1,Week 4,Solution 15,Replication 2,14.93,5,30.26,3,4
1081,Phase 1,Week 4,Solution 15,Replication 3,14.58,4,32.74,4,4
1082,Phase 1,Week 4,Solution 15,Replication 4,14.92,4,39.46,5,4
1083,Phase 1,Week 4,Solution 15,Replication 5,14.99,4,34.73,4,4
1084,Phase 1,Week 4,Solution 15,Replication 6,14.03,5,32.39,4,3
1085,Phase 1,Week 4,Solution 15,Replication 7,14.86,5,36.25,3,5
1086,Phase 1,Week 4,Solution 15,Replication 8,14.38,4,33.48,3,4
1087,Phase 1,Week 4,Solution 15,Replication 9,14.71,5,38.72,3,3
1088,Phase 1,Week 4,Solution 15,Replication 10,14.90,5,30.54,3,4
1089,Phase 1,Week 4,Solution 15,Replication 11,14.61,5,31.06,3,3
1090,Phase 1,Week 4,Solution 15,Replication 12,14.46,4,34.53,4,4
1091,Phase 1,Week 4,Solution 15,Replication 13,14.67,4,38.60,4,4
1092,Phase 1,Week 4,Solution 15,Replication 14,14.72,5,33.18,4,5
1093,Phase 1,Week 4,Solution 16,Replication 1,8.38,4,26.50,3,4
1094,Phase 1,Week 4,Solution 16,Replication 2,9.40,4,28.56,3,4
1095,Phase 1,Week 4,Solution 16,Replication 3,9.88,4,28.94,3,4
1096,Phase 1,Week 4,Solution 16,Replication 4,9.98,3,28.06,3,3
1097,Phase 1,Week 4,Solution 16,Replication 5,8.34,3,27.67,4,4
1098,Phase 1,Week 4,Solution 16,Replication 6,8.54,4,29.08,3,3
1099,Phase 1,Week 4,Solution 16,Replication 7,8.11,3,27.14,3,4
1100,Phase 1,Week 4,Solution 16,Replication 8,9.37,4,28.05,4,4
1101,Phase 1,Week 4,Solution 16,Replication 9,8.27,4,26.91,3,3
1102,Phase 1,Week 4,Solution 16,Replication 10,8.84,3,29.78,4,4
1103,Phase 1,Week 4,Solution 16,Replication 11,8.11,3,29.70,4,4
1104,Phase 1,Week 4,Solution 16,Replication 12,8.30,3,29.75,3,3
1105,Phase 1,Week 4,Solution 16,Replication 13,8.55,4,25.99,3,3
1106,Phase 1,Week 4,Solution 16,Replication 14,9.97,4,27.69,3,3
1107,Phase 1,Week 4,Solution 17,Replication 1,14.64,5,35.44,3,3
1108,Phase 1,Week 4,Solution 17,Replication 2,14.25,4,38.85,4,4
1109,Phase 1,Week 4,Solution 17,Replication 3,14.03,4,32.65,5,5
1110,Phase 1,Week 4,Solution 17,Replication 4,14.80,5,32.94,4,5
1111,Phase 1,Week 4,Solution 17,Replication 5,14.11,4,33.51,4,4
1112,Phase 1,Week 4,Solution 17,Replication 6,14.99,5,39.68,4,5
1113,Phase 1,Week 4,Solution 17,Replication 7,14.81,4,39.32,3,5
1114,Phase 1,Week 4,Solution 17,Replication 8,14.45,5,36.20,5,5
1115,Phase 1,Week 4,Solution 17,Replication 9,14.08,5,32.31,4,4
1116,Phase 1,Week 4,Solution 17,Replication 10,14.98,4,33.39,3,5
1117,Phase 1,Week 4,Solution 17,Replication 11,14.38,4,35.05,5,4
1118,Phase 1,Week 4,Solution 17,Replication 12,14.08,4,38.17,4,5
1119,Phase 1,Week 4,Solution 17,Replication 13,14.16,5,38.73,5,5
1120,Phase 1,Week 4,Solution 17,Replication 14,14.14,4,31.02,4,4
1121,Phase 1,Week 4,Solution 18,Replication 1,8.29,3,26.45,3,4
1122,Phase 1,Week 4,Solution 18,Replication 2,9.56,4,29.45,4,3
1123,Phase 1,Week 4,Solution 18,Replication 3,8.39,3,28.05,3,3
1124,Phase 1,Week 4,Solution 18,Replication 4,9.15,4,25.57,3,4
1125,Phase 1,Week 4,Solution 18,Replication 5,8.43,4,27.35,4,4
1126,Phase 1,Week 4,Solution 18,Replication 6,9.71,3,27.94,3,3
1127,Phase 1,Week 4,Solution 18,Replication 7,9.50,4,27.38,4,3
1128,Phase 1,Week 4,Solution 18,Replication 8,9.18,4,29.70,4,4
1129,Phase 1,Week 4,Solution 18,Replication 9,8.11,3,28.37,4,3
1130,Phase 1,Week 4,Solution 18,Replication 10,8.46,3,26.21,4,3
1131,Phase 1,Week 4,Solution 18,Replication 11,8.31,4,26.44,4,4
1132,Phase 1,Week 4,Solution 18,Replication 12,9.70,3,25.60,4,3
1133,Phase 1,Week 4,Solution 18,Replication 13,9.38,3,29.39,4,4
1134,Phase 1,Week 4,Solution 18,Replication 14,8.07,3,29.73,4,3
1135,Phase 1,Week 4,Solution 19,Replication 1,14.77,4,35.27,4,3
1136,Phase 1,Week 4,Solution 19,Replication 2,14.69,5,36.19,4,4
1137,Phase 1,Week 4,Solution 19,Replication 3,14.40,5,34.94,5,4
1138,Phase 1,Week 4,Solution 19,Replication 4,14.32,4,33.58,5,4
1139,Phase 1,Week 4,Solution 19,Replication 5,14.14,5,34.47,4,5
1140,Phase 1,Week 4,Solution 19,Replication 6,15.00,5,39.73,5,4
1141,Phase 1,Week 4,Solution 19,Replication 7,14.56,5,38.34,5,3
1142,Phase 1,Week 4,Solution 19,Replication 8,14.61,5,37.67,3,5
1143,Phase 1,Week 4,Solution 19,Replication 9,14.75,5,39.46,5,5
1144,Phase 1,Week 4,Solution 19,Replication 10,14.11,5,33.98,3,4
1145,Phase 1,Week 4,Solution 19,Replication 11,14.25,5,35.06,3,3
1146,Phase 1,Week 4,Solution 19,Replication 12,14.83,5,32.65,4,3
1147,Phase 1,Week 4,Solution 19,Replication 13,14.72,5,37.98,4,5
1148,Phase 1,Week 4,Solution 19,Replication 14,14.35,4,38.04,4,5
1149,Phase 1,Week 4,Solution 20,Replication 1,14.11,5,32.87,5,4
1150,Phase 1,Week 4,Solution 20,Replication 2,14.71,5,35.04,4,5
1151,Phase 1,Week 4,Solution 20,Replication 3,14.95,5,31.68,4,4
1152,Phase 1,Week 4,Solution 20,Replication 4,14.74,4,30.31,5,3
1153,Phase 1,Week 4,Solution 20,Replication 5,14.60,5,38.70,4,3
1154,Phase 1,Week 4,Solution 20,Replication 6,14.16,5,30.41,4,3
1155,Phase 1,Week 4,Solution 20,Replication 7,14.77,4,38.06,4,4
1156,Phase 1,Week 4,Solution 20,Replication 8,14.46,4,37.05,4,4
1157,Phase 1,Week 4,Solution 20,Replication 9,14.94,4,32.11,4,3
1158,Phase 1,Week 4,Solution 20,Replication 10,14.70,4,34.88,3,5
1159,Phase 1,Week 4,Solution 20,Replication 11,14.15,4,33.30,4,4
1160,Phase 1,Week 4,Solution 20,Replication 12,14.91,4,34.60,4,4
1161,Phase 1,Week 4,Solution 20,Replication 13,14.27,4,39.77,5,5
1162,Phase 1,Week 4,Solution 20,Replication 14,14.48,4,37.42,4,4
1163,Phase 1,Week 4,Control,Replication 1,13.51,4,34.88,3,3
1164,Phase 1,Week 4,Control,Replication 2,13.07,5,37.70,4,4
1165,Phase 1,Week 4,Control,Replication 3,13.56,5,36.36,4,5
1166,Phase 1,Week 4,Control,Replication 4,14.90,4,37.55,4,5
1167,Phase 1,Week 4,Control,Replication 5,13.30,4,30.08,3,3
1168,Phase 1,Week 4,Control,Replication 6,13.18,5,37.24,5,3
1169,Phase 1,Week 4,Control,Replication 7,13.56,5,39.55,4,4
1170,Phase 1,Week 4,Control,Replication 8,14.52,5,33.25,5,5
1171,Phase 1,Week 4,Control,Replication 9,13.09,5,36.10,5,5
1172,Phase 1,Week 4,Control,Replication 10,14.18,4,38.65,5,4
1173,Phase 1,Week 4,Control,Replication 11,13.36,5,32.58,3,4
1174,Phase 1,Week 4,Control,Replication 12,14.70,5,33.81,3,4
1175,Phase 1,Week 4,Control,Replication 13,13.46,4,32.36,4,4
1176,Phase 1,Week 4,Control,Replication 14,14.18,4,37.86,4,3
1177,Phase 2,Week 1,Solution 2,Replication 1,1.44,3,12.75,1,1
1178,Phase 2,Week 1,Solution 2,Replication 2,1.90,3,11.35,2,2
1179,Phase 2,Week 1,Solution 2,Replication 3,1.79,3,10.25,2,2
1180,Phase 2,Week 1,Solution 2,Replication 4,1.70,2,13.06,2,1
1181,Phase 2,Week 1,Solution 2,Replication 5,1.58,3,10.26,1,2
1182,Phase 2,Week 1,Solution 2,Replication 6,1.11,2,13.43,1,1
1183,Phase 2,Week 1,Solution 2,Replication 7,1.48,3,12.32,2,1
1184,Phase 2,Week 1,Solution 2,Replication 8,1.38,2,12.50,1,2
1185,Phase 2,Week 1,Solution 2,Replication 9,1.18,2,14.41,1,2
1186,Phase 2,Week 1,Solution 2,Replication 10,1.37,3,11.09,2,2
1187,Phase 2,Week 1,Solution 2,Replication 11,1.52,3,12.64,2,2
1188,Phase 2,Week 1,Solution 2,Replication 12,1.56,3,13.48,1,1
1189,Phase 2,Week 1,Solution 2,Replication 13,1.28,3,14.92,2,2
1190,Phase 2,Week 1,Solution 2,Replication 14,1.80,2,10.63,2,1
1191,Phase 2,Week 1,Solution 2,Replication 15,1.88,2,11.80,2,2
1192,Phase 2,Week 1,Solution 2,Replication 16,1.76,3,13.10,1,2
1193,Phase 2,Week 1,Solution 2,Replication 17,1.35,2,13.76,1,2
